data,label,label_self_training
belanja disini sering dapat barang palsuini udah kesekian kalinya saya dapat barangbpalsu dan tidak sesuai poto dan deskripsi produk apa tokopedia tidak manegur selleer nya yang dapat bintang ya udah gitu susah banget terhubung dengan customer service yang jawab pesan botkitanya tidak bisa menyampaikan keluhan secara langsungsolusi mengembalikan barang merepotkan sekali sumpah,,negatif
aplikasinya nipu harga jangan di download,,negatif
tidak usah nyantumin diskon kalau tidak bisa dipakai aplikasi scammer jangan di download,,negatif
serba mudah mantap pokona mah,positif,positif
tokopedia banyak barang palsu dan tidak asli dan barang ilegal dan tidak ada perijinan dari pajak dan bea cukaipantas negara indonesia jadi rugi sekitar rp triliun,,negatif
aplikasi sering bermasalah mengenai jaringan padahal wifi selalu normal namun server tokopedia sering tidak merespon tolong perbaiki segera,,negatif
aplikasi terbaik tidak diragukan lagi,positif,positif
berat banget ini aplikasi tokopedia sekarang dulu saya lebih prioritas tokopedia ketimbang keranjang kuning karena aplikasi nya enteng sekarang buat scroll cari barang sbntar aja udah berat hp ram padahal,,negatif
sekarang pengiriman di tokopedia jadi lambat banget,,negatif
pertama belanja semoga banyak promo dan gratis ongkir,netral,positif
sangat puas belaja di sini sukses terus buat tim pengembang,positif,positif
banyak modus penipuan,,negatif
parameter batasan keranjangnya absurd haha kalau pakai batasan item barang atau toko tidak masalah ini malah pakai batasan pcs juga efeknya ini saya pesen kertas pcs tidak bisa jadinya wkkw klik beli juga tidak bisa karena larinya kekeranjang dan pasti kena batas max pcs lagi,,negatif
saya kena tipu toko abal abal tokopedia tidak ada tanggapan buat membantu saya,,negatif
lebih baik belanja di shopee dari pada tokopedia sudah pesan bayar sudah ditunggu malah barang tidak datang tampa konfirmasi dan uang masuk ke saldo tokopedia,,negatif
barusan saya kena tipu saya wa ke no wa yang dapat dari instagram resminya tokopedia karena ada pembatalan pembelian dia nyuruh saya beli barang terus dibatalin akhirnya saya beli tapi saldonya tidak balik lagi malah ada yang ngambil di akun tokopedia punya saya,,negatif
aplikasi parah promo besar buat pelanggan tertarik dan akhirnya dibikin kecewa barang tidak pernah dikirim,,negatif
proses cepat,positif,positif
isi bagus mines notifikasi bloatware jalan mulu dan tidak bisa dihilangkan biasanya promo iklan,,negatif
mau pengembalian barang tapi kurirnya tidak datang akhirnya komplain ketutup sendiri dianggap membeli,,negatif
aplikasi aneh dan tidak laku banyak toko yang di blokir gmn mau bersaing dengan toko sebelah owner nya kelewat tolol,,negatif
saya tidak akan pernah berbelanja di tokopedia lagi banyak toko yang menjual barang tidak layak mohon ditindaklanjuti,,negatif
proses cepat dan mudah,positif,positif
kenapa ini aplikasi tokopedia mu masuk ke tagihan tokopedia card saja sudah hari tidak bisa masuk bagaimana saya bayar jika tidak bisa masuk ke menu tagihan tokopedia card,,negatif
coba benarkan lagi sistem tokopedia card nya mau bayar dipersulit ada aja alesanya seperti koneksi internetlah terus harus tunggu menit lah padahal udah ditungguin sampai besoknya tetep aja tidak bisa masa masalah kyk gini tidak hilang hilang dan masalahnya sampai berhari hari,,negatif
sekarang tokopedia aneh pertama saya beli di tokopedia bisa cash on delivery pas udah beli saya mau beli lagi udah tidak bisa cash on delivery mau beli apapun juga memang aneh,,negatif
aplikasi ini sudah milik cina pki bukan aplikasi milik anak bangsa lagi wkwk konoha indo udah dibeli sama cina,,negatif
bagus,positif,positif
kurir id express sering chat setelah kirim paket lalu meminjam uang sebaiknya pakai si cepat saja karena si cepat kurirnya sopan jasa pengiriman jne malas antar ke rumah suka minta kita ke jalan ambil di jalan utama jt juga malas antar ke rumah malas turun dari motor kita yang harus nyamperin ke motor,,negatif
sekarang jadi stupid banget fitur pencarian di tokopedia jelasjelas barangnya ada di toko dan di ketik sesuai nama barang tetap muncul barang tidak ditemukan membuat malas saja cari barang di tokopedia sejauh ini terus menurun kualitas app tokopedia,,negatif
oke bagus,positif,positif
nebar iklan di mana mana saya tidak suka,,negatif
oke baik,positif,positif
gan setelah di update fitur feed update di tokopedia nya kok tidak bisa di scroll ya,,negatif
ini dulu semoga lancar jaya,netral,netral
kok macet mau bayar,,negatif
tidak seperti dulu,,negatif
pembayaran pakai gopay saldonya selalu tidak terdeteksi padahal udah ditopup ehh saldo gopay tabungan malah yang tampil giliran di topup ke gopay tabungan ehh malah saldo utama yang tampil hal hasil saya harus bagus up dua duanya baru bisa,,negatif
terimahkasih,positif,positif
beli diskon dapat kupon event kemarenan disuruh tf dl baru dapat potonganbayar rbstlh diitung eh harga normal cm free ongkirgimik hanya beli kopi pcs jatohny satuanrbmau bangkrut cukup x ja,,negatif
koneksi timeout mulu knpa dah babhi,,negatif
aplikasi buruk sekali sudah beli pesanan tidak dikirim minta dikembalikan malah saldo pakai acara ditahan sangat menyulitkan pembeli jangan sampai ada lagi yang ketipu sama aplikasi ini,,negatif
ko akun saya tidak bisa klaim voucher sih,,negatif
error yang tidak pernah fix setiap update aplikasi ketika melihat foto ulasan geser bawah atas kanan kiri hampir gabisa perbaiki dong admin ngehambat banget error itu,,negatif
bagus,positif,positif
belanja di sini jarang yang bisa cash on delivery,,negatif
sangat baik membantu saya,positif,positif
tolong dibuat virtual account kyk aplikasi shopee bisa buat berbagai macam virtual account msal bsi bisa virtual account untuk produk krna kami mau booking dulu barang baru bayar kalau disini harus bayar dulu sdgkn kalau mau beli produk baru lagi jdi produk pertama hilang karna sdh beli produk kedua tolong diperbaiki makasih,,negatif
simpellengkapcepat,,negatif
sukses,,positif
filternya buruk tidak kyk dulu cari barang harus ulang filter terus saat kembali sortirnya juga sekarang ngawur kenapa malah jelek daripada yang dulu,,negatif
memuaskan produk paling lengkap ya di tokopedia apapun dicari pasti ada mantap,,positif
bagus mangtap minus kebanyakan error tapi oke,,positif
mantap toko pedia,,positif
keren,,positif
jika pesan barang terus kita tidak mengisi reting toko bisa otomatis mengisi sendiri wkwkwk,,negatif
sangat bagus,,positif
perbaikan yang bagus,,positif
tim tokopedia care sangat tidak profesional,,positif
cekatan,,negatif
mau tolong tambah kan fitur masukan pin dulu klo mau belanja online karena yang sekarang terlalu mudah belanja tinggal klik hanya langsung di proses nanti buat alasan costumer nge return dengan alsan kepencet kasihan orang kurirnya ini untuk di tokopedia maupun di tiktok shop ya,,negatif
semakin lemah saya cekout tidak ada respon sampai seminggu duakali ulang hadeuh parah,,negatif
aplikasi ini sangat tidak jelas dalam pelayanan maslah barang cacat sudah kirim bukti tetapi di tidak ada solusi di tambah pelayanan customer service tidak manusiawi tidak mendengar keluhan dan selalu tutup komplain ketika komplain aplikasi ini buruk sekali,,negatif
bagus hanya ongkir nya sangat mahal dari harga barang jadi total mohon di kurangi sedikit harga ongkir nya,netral,negatif
anjinglah saya setiap kali pesan kurir nya kurang ramah tidak ada konfirmasi lagi kapan pengantaran paket nya cobalah di berbaiki untuk proses pengantaran paket nya,,negatif
bagus,,positif
status pengiriman bisa dicek langsung di aplikasi,netral,netral
tidak bisa update,,negatif
fitur wishlist kadang nggak nampilin semua barang,netral,netral
mudah cepat dan praktis,,positif
hemat banget sangat membantu,,positif
tidak bisa beli pakai cash on delivery padahal sayang sekali banyak orang yang ingin beli di tokopedia karena kualitasnya dan barang barang nya bagus bagus mau beli vape pod enggak bisa beli mau jadi langganan vape pod tetapi metode pembayaran nya debit toko bagus hanya metode nya yang buruk ini saran tolong langsung di ubah langsung,netral,netral
sekarang belanja di tokopedia tidak bisa bayar di tempat,,negatif
sangat bagus trmksh,,positif
bagus,,positif
customer service tidak membantu promo yang didapat tidak sesuai cashback tidak diterima,,negatif
ongkir nya ter parah se online lainhanya bagus paylater nyabeli x barang tidak terkirim kirimtoko nya pada tidak amanahtutup saja,,negatif
gan metode pilihan pembayaran susah di buka tolong di perbaiki mw belanja jadi susah,,negatif
mau ganti nomor aja susahnya minta ampun anjg ribet hidop kamu,,negatif
bagus,,positif
jangan di install aplikasi penipu diskon saat mau beli diskonnya hilang sayangi waktu kalian pakai aplikasi lain,,negatif
banyakin gratis ongkir agar tambah maju,netral,netral
sekarang tokpedia parah yasaya komplain atas penipuan yang saya alami sudah beberpa hari tidak di tanggapi,,negatif
mantap,,positif
bagus markotop lah ,,positif
rekomendasi kurirnya tidak bagus pengiriman dekat bisa minggu lebih,,negatif
mantap,,positif
semua pelayanan sangat lambat chat penjual pun tidak ada respon penjemputan kurir sampai hari masih disuruh tunggu hari lagimasa iya proses sampai seminggu baru dikirim itupun kalau dikirim,,negatif
sip deh,,negatif
bagus aplikasinya enak di pakai,,positif
aplikasi error tambah keranjang selalu terjadi kesalaha susah buat beli produk berbeda dalam toko pengiriman tampilannya aja yang sok modern kupon promo nya juga tidak bisa dipakai alias ngibul,,negatif
saya mesen barang tiba tiba dicancel karena kesalahan penetapan hargauang saya tidak dikembalikan persen,,negatif
bagus parcaya,,positif
tolong tambahkan sisitem cash on delivery di metode pembayaran,netral,netral
menu halaman mudah dipake,,positif
pada tanggal oktober lalu saya sudah transfer uang buat beli amplifier yamaha tapi ternyata barang sdah habis lalu saya menanyakan dana dikembalikan saya tapi akun saya justru diblokirdan setelah akun saya aktif lagi saya tidak bisa melihat data transaksi saya dan dana dikembalikan saya belum dikembalikan sampai sekarang liciknya tokopedia ialah memblokir akun saya hiingga setelah saya aktif lagi dengan akun baru saya tidak bisa lihat data transaksi saya,,negatif
sangat membantu,,positif
ini gimana sih mau buka all chat malah muncul kolom rekomendasi tidak penting banget anjir mau chat seller lama gaisa diperbaiki lagi lah kamu sistimnya,,negatif
cari barang barang elektronika di toko pedia lebih lengkap lebih murah mendapatkan pelayanan terbaik,,positif
posting lebih dahulu resep search,netral,netral
sangat mudah,,positif
sangat membantu sekali dari segala proses pembayaran dan pengiriman,,positif
sangat tidak profesional dalam menangani kendala apabila terjadi keterlambatan kurir dan ternyata tidak ada jaminan bahwa barang yang kita beli terlambat atau bahkan tidak sampai tidak berubah ni tokopedia malah sekarang tidak bisa komplain memang tidak pernah menghargai konsumen,,negatif
ekspedisi rekomendasi tokopedia tidak jelas untuk tokopedia kalau mau beri layanan gratis ongkir yang niat apa,,negatif
pembayaran sekaligus error mau bayar pulsa pascabayar dan pdam sekaligus tidak bs error terus,,negatif
kecewa dengan toko pedia banyak toko penipunya mending cari yang lain aja mana malah admin toko pedia bantuin penipunya,,negatif
tidak suka banget sama sistem pengiriman sekarang tidak bisa pilih ekspedisi dipaksa pakai kurir rekomendasi masalahnya paket sering di over ke berbagai ekspedisi yang membuat paket ber putar ber putar disitu,,negatif
mantap,,positif
jujur semakin sini kok semakin banyak aja ya error nya,,negatif
opsi alasan pembatalan pembelian harusnya ditambahi barang tidak ready stock tapi ditampilkan di etalase dengan sengaja,,negatif
tidak jelas buka aplikasi mental lagi buka aplikasi mental lagi hapus tidak aja lah,,negatif
pelayanan customer service buruk pelayanan bantuankonsultasi buruk pengaduan buruk,,negatif
lumayan baik,netral,netral
admin tolong tokotoko yang sudah tidak aktif berjualan jangan di tampilkan di pencarian atau kasih penjelasan kapan terahir online penjual aku sudah cekhout berkalikali saya tunggu tidak di kirimkirim ternyata tokonya udah lama tidak jualan tolong tampilkan saja tokotoko yang masih aktif,netral,negatif
bagus,,positif
membuang uangku terima kasih tokopedia,,positif
tepat waktu,,positif
tokopedia ini gaje produk lebel gratis ongkir tp minimal jt kamu mau beli apa cokk taik,,negatif
ckp kecewa habis beli barangnya eh ternyata ad yang lebih bagus murah kenapa tidak pas ngesearch ditunjukin ya kecewa berat,,negatif
online shop terbaik,,positif
alhamdulillah puas,,positif
terima kasih tokopedia sukses selalu,,positif
aplikasi bisa dipakai buat liat barang yang lagi diskon,netral,netral
customer service chat live tidak menjawab beda dengan customer service si oren cepat tanggap,,negatif
oke mantap,,positif
saya suka belanja di tokopedia,,negatif
belanja puas tidak ada tipu saldo saya rp ribu bisa belanja lagi barang serupa yaitu jaring pagar ayam,,negatif
respon cepat,,positif
tampilan terbaru buat pencarian tidak sesuai produk yang cari saja nyusahin,,negatif
respon chat pengaduan lambat tidak lagi dah,,negatif
sangat memuaskan,,positif
tolong lah di notifikasi gratis ongkir waktu checkout g ada kuponnya tokopedia tidak se bagus yang dulu,,negatif
mantap tokopedia proses mudah dan cepat,,positif
tadi siang saya checkout langsung ada no resi ketika saya mau batalkan tidak ada fiturnya kalau sekarang saya checkout tidak ada respon dari penjual otomatis saya batalkan,,negatif
cinta tokopedia saya sangat senang banget karna harga di sini murah murah dan juga berkualitas untuk kebutuhan pc saya terima kasih banyak ya tokopedia,,positif
oke mantaasp,,positif
kapok belanja di tokopedia pengiriman melebihi batas tanggal estimasi yang di tentukan tolong kerja sama nya agar sama sama enak,,negatif
semakin banyak error salah satunya nama produk tidak sinkron contoh kamera dslr canon eos r tapi saat di klik malah masuk ke barang yang lain,,negatif
sangat baik,,positif
itur search di aplikasi bisa dipakai buat nyari barang yang mau dibel,netral,netral
bentar bentar di suruh update aplikasi klo tidak update aplikasinya tidak bisa d buka niat mau belanja malah update aplikasi sambil tunggu download kelar iseng buka aplikasi oranye kmudian nemu produk yang dicari terus cek out di aplikasi oranye selesai update aplikasi toko pedia klik keluar karena produk yang mau d beli sudah di cek out di toko oranye kata untuk toko pedia payah,,negatif
karena ada kendala pengiriman saya chat agen tapi terakhir sebelum sesi chat selesai eh tahu akun tokopedia saya logout sendiri setelah login malah semua promo ilang dan nga bisa pakai promo gratis ongkir dan lainnya padahal lagi butuh belanja di tokopedia sudah chat agen lagi tapi belum balas,,negatif
sudah lama pakai tokopedia dan merasa bagus dengan official storenya tapi sekarang kecewa karena pengiriman id express yang tidak niat mengirim barang selalu meretur secara sepihak,,negatif
sangat memuaskan mantap,,positif
bintang buangbuang waktu belanja di tokopedia pesanan tidak diproses malah tunggu habis waktu cancel by systembagusan shopee ini tokopedia tidak jelas trackingnya emang sih gratis ongkir tp kurir beda apa boleh selemot ini,,negatif
cepat,,positif
paket saya ketahan kurir ninja express udah hari plis lah tolong pengajuan pengembalian juga tidak bisa hedeh,,negatif
semakin banyak seller penipu tokopedia lambat respo hati akum ilang,,negatif
mau beli jaket harganya rebu ongkir rebu padahal sama d pulau jawa pantas aja peminat tokopedia sudah tidak ada dan pindah k shopee dan lain lain,,negatif
bagus sekali pengiriman cepat,,positif
payah tokopedia sekarang saya mau melakukan komplain sangat sulit customer service nya berteletele mau tarik saldo tokopedia dipersulit padahal saya pelanggan lama tokopedia kalau kinerjanya seperti ini bentar lagi aplikasi ini bakal punah sama toko oren sangat tidak recomended tokopedia sekarang,,negatif
suka belanja di tokopedia barang bagus,,positif
mohon lebih banyak lagi gratis ongkir,netral,netral
basa tidak sih jangan ganggu orang main game,,negatif
ada transaksi saya bermasalah dengan satu toko toko tersebut tidak mau bertanggungjawab atas barang yang rusak saya minta dikembalikan dan pengembalian dana berbagai cara minta pertanggungjawaban sama sekali tidak membuahkan hasil mengadu ke aplikasi sama aja tidak ada solusinya maaf saya kasih bintang,,negatif
tolong customer service tokopedia menertibkan seller yang tidak bertanggung jawab umumnya seller yang kasih discount kebanyakan penipu,,negatif
penampilan oke dan sangat baik dan bagus tingkatkan tpi ada kendala benar parah masa klo preorder kan sampai hari kerja ini malah lebih sampai hari kerja dan dalam po kan hari kerja saya kan butuh barang tersebut dan status nya belum berubah masih diorder blom berubah jadi dikirim ini saya minta koreksi dari pihak tokopedia untuk segera menegur oknum penjual itu tolong y tokopedia yang terhormat,,negatif
belanja di tokopedia praktis cepat terjamin dan bertanggung jawab tks tokopedia,,positif
kenapa daftar barang dalam keranjang sebagian besar hilang,,negatif
saya hamper kena tipu hati hati hp kalin di retas,,negatif
kenapa lagi ini admin tokopedia nya ada tulisannya bisa cash on delivery tapi pasa mau klik bayar tidak bisapembayaran di tempat tidak bisa di klik,,negatif
sangat mudah dan gampang dengan tokopedia,,positif
tolong error dan error nya di perbaiki di bagian pencarian nya dong,,negatif
jadi tidak nyaman sekarang belanja di tokopedia banyak error bugngetik kata kunci apa yang keluar apaongkir mahal dan lain lain,,negatif
banyak error jaringan lancar tapi tidak bisa bayar belanjaan udah lama² misahin barang eh begitu dipesan tidak bisa tolong diperbaiki,,negatif
oke lah walaupun tidak seperti shoope yang banyak gratis ongkir,,negatif
aplikasi sampah banyak toko penipuan hati buat yang lain yang pengen belanja di tokopedia banyak toko penipuan nya,,negatif
pelit gratis ongkir,,positif
baik,,positif
lagi dan lagi parah nih sistem tokopedia tidak ada perbaikan pembatalan sepihak saldo sdh kembali tapi voucher tidak dikembalikan war apaan susah dapatinnya tapi sekali dapat dipakai dibatalkan sepihak penjual kurang ajar semakin parah lagi tokopedia juga sepihak membatalkan promoudah pindah ke marketplace sebelah lebih enaksiap uninstall,,negatif
ribet amat kalau komplain di toko pedia bisa berharihari di aplikasi sebelah jam selesai diproses itu sebabnya tokopedia layak di tinggalkan,,negatif
saya ambil bintang nya lagi terlalu banyak penipuan di tokopedia saat ini saya beberapakali kena tipu ketika laporan tidak ditanggapi maaf dengan ini saya dan keluarga berhenti di tokopedia,,negatif
entah kenapa tidak bisa buka review barang ditoko lain tidak bisa mereview barang yang dibeli sudah bberapa hari ini,,negatif
saya sangat puas belanja disini banyak toko yang bagus dan bertanggu jawab serta akses pembayarannya yang paling mudah dibandingkan dengan yang lain,,positif
saya dikasi iklan dewasa mulu udah akrifkan fitur safe search rekomendasi isinya corn brator anj aplikasi tidak ramah sekali,,negatif
sisa saldo tokopedia tidak bisa ditambahkan,,negatif
tokopedia memang mantap,,positif
pengen belanja disini tapi malas kurirnya pke jasa pengiriman jne kurir paling lambat didunia apalagi kurir jasa pengiriman jne kota palu pling lambat di indonesia,,negatif
toko ijo adalah olshop yang sangat mentaati aturan iklan google tidak seperti apl² olshop sblh yang pada pasang bot autoclick iklan yang mn kita gadak klik iklan mlh terklik otomatis toko ijo ini lebih suka klik iklan yang sah n betul² diklik dengan sengaja oleh manusia tampa campur tangan bot apapun,,negatif
bagus,,positif
aplikasi nya bagus tapi sayang saya pernah pesan sesuatu dikirim lambattelat hari dan tokopedia ini tidak menyediakan gpsmap tempat berada si kurir berada jadi otomatis saya kebingungan dan pas saya cek di lacak eh malah pesanan menjauh dari rumah saya saya menjadi sangat bingung pokonya kasih solusi untuk kedepannya ya,,negatif
toko penipu dibiarkan berkeliaran agar yang transaksi di tokopedia tetap banyak parah,,negatif
baru kali ini menghadapi customer service platform belanja yang tidak niat bantu disuruh tunggu lama engga kasih solusi jawab seperti bot,,negatif
jualan di tokopedia ribet mau uploud harus ke tokopedia seller udah ke tokopedia seller harus tautkan ke tiktokbikin simple lah kaya sebelah mau tautkan atau tidak ya tidak masalah,,negatif
tidak lagi lagi dah,,negatif
kalau membuat iklan jangan maksa lah saya lagi ekspor di capcut malah tiba² ke aplikasi tokopedia padahal g mencet apa²,,negatif
mantap,,positif
maaf kak yaapadahal sudah mulai suka belanja di online shopp tokopedia inipilihan productnya banyak dan harga bisa lebih murahbanyak promo dibanding aplikasi yang lain cuma tolong di perhatikan kak hampir semua barang pas mau di chekout kok selalu eror siih gangguan terus servernya ndk bisa pesan barang sllu muncul tulisan ada gangguan di topedgangguan di topedtolong di upgread lagi agar lancar sistemnnyathanks,,negatif
terimakasih bagus banget aplikasinya,,positif
loadingnya lama untuk mengganti metode pembayaran tolong diperbaiki,,negatif
setelah sekian lama akhirnya kecewa berat mending putus hubungan kerja sama sama id expres tidak profesional banget paket ditahan lama diambil di gudang gabisa kecewa poll,,negatif
sukaa banget belanja di sinii ongkir nyaa murahh murahh banyak diskonn,,negatif
bisa liat promo atau diskon,netral,netral
terimakasih tokopedia sudah banyak membantu dengan fitur paylater nya satu lagi sekedar saran admin info status pesanan sedang dikirim nya jangan pakai bahasa inggris rada tidak ngerti maksud nyapake bahasa indonesia aja jasa pengiriman juga perbanyak jasa kurir yang mendukung jangan hanya jasa pengiriman jnt jasa pengiriman jne ke bagian pedesaan banyak yang kurang mendukung jasa kurir diatas itu adapun sering lambat meleset dari estimasi,,negatif
uang ke konci semua di aplikasi ini tidak bisa di ambil tidak bisa isi saldonya pula,,negatif
tolong kak untuk vt di tiktok apa salah nya sih kak pakai gambar saya tidak punya sampel dan saya juga tidak merugikan seller mintaminta sampel saya di tiktok membuat vt bergambar akhirakhir ini di kasih poin pdhal sebelumx nya cuma di sanksi tolong kebijakan nya dirubah kak ini kok jadi takut mau berkreasi lewat vt saya cuma affiliate kecil,,negatif
pusat resolusi seperti berhadapan sama robot,,negatif
cukup membantu untuk melengkapi kebutuhan,,positif
jangan pernah beli produk digital dari tokopedia pelayanan buruk dan lama,,negatif
kembali kan uang batal belanja lamaa,,negatif
aplikasinya bermasalah slalu blk lagi mohon perbaiki,,negatif
trima kasih tokopedia,,positif
platform dengan after sales yang sangat mengkhawatirkan kalau pembelian ada masalah komplain pihak cust service dan minta bantuan selalu no respon sangat menakutkan kalau transaksi yang bernilai spt beli handphone atau elektronik yang ada harga mending cari platform lain deh,,negatif
tidak jelas mau mencari barang malah error terus aplikasi nya,,negatif
barangnya mahal diatas harga pasar gimik pakai voucher malah jadi harga normal pengguna baru tidak ada promo adapun juga harga normal,,negatif
bagus banget jirlah,,positif
mantap,,positif
jelek jangan di install,,negatif
kenapa saya tidak bisa mendownload aplikasi ini ya,,negatif
kenapa aplikasi ini jadi lambat bangetpadahal saya buka youtube lancar buka instagram buka aplikasi lain juga lancar tapi pas buka tokopedia kenapa jadi lambat,,negatif
oke bagus sekali,,positif
tokopedia semakin sini semakin kesana sering error tidak jelas tidak kaya dulu semakin berat,,negatif
terbaik emang tokopedia klo mau tarik saldo dari tokoed cepat mudah dan tidak ada biaya terbaik klo batal pun dan bisa kembali keren love tokopedia,,positif
tuempek aplikasine,,negatif
bagus banget,,positif
baru kali saya buka aplikasi tokopedia,,negatif
tolong ganti si cepat udah reting buruk memnag lambat tidak pernah tepat bad attitude parah,,negatif
saya kalau belanja di toko pedia seringnya di cancel otomatis karena tokonya yang kurang amanah tiga hari pesanan statusnya proses terus,,negatif
aplikasi sampah tidak bisa tarik saldo dikembalikan alasan email belum di verifikasi padahal sudah lebih tahun saya pakai tokopediaminggu kemarin juga bisa tarik dan tidak bisa komunikasi langsung dengan customer service nya juga paylater nya tidak bisa di pakai padahal tidak ada kendala pembayaran tidak pernah telat bayar,,negatif
mantap jiwa,,positif
pertama kali pakai toko pedia bagus up flaz tidak masuk customer service susah di hubungi,,negatif
terbaik tokopedia,,positif
bagus,,positif
kok tidak bisa beri rating ya ke penjual,netral,negatif
hai tokopedia ini saya belanja x dan semua tidak bisa saya lacak saya juga sdh bayar gimana status pesenan saya donk membuat susah aja ama yang model baru ini kembali ke yang lama aja lah,,negatif
cepat dan mantap,,positif
ongkir mahal padahal aku pengguna baru di kasih ongkir k anying,,negatif
sngat kecewa dengan jasa kurir yang di pakai tokopedia,,negatif
pelayanan cepat,,positif
error tidak bisa dibukak,,negatif
parah sih toko paling susah dikembalikan nga seperti di s l cepat banget untuk dikembalikan dan paket hilang sampai di telpon customer service juga lah di sini x dikembalikan pertama beli helm lumayan juga rb klaim dikembalikan susahnya minta ampun harus ngisi link sana sini harusnya yang ngisi link customer service malah costumer dan harus tiap hari kita chat customer service masalah refundretur udah seperti layaknya pengemis yang minta uangnya sendiri wkwk pantes aja penipuan tokokped merajalela,,negatif
aplikasi ribet mau masuk aja berteletele,,negatif
aplikasi tokopedia sekarang sangat jelek masa fitur chat dengan penjual itu sekarang susah nyarinya tidak ada lagi di bawah seperti yang dulu please lah jangan menyusahkan kita dalam berkomunikasi dengan penjual menanyakan barang,,negatif
aplikasi abalabal penjual barang banyak yang jual barang tiruan pihak ketiga juga mendukung barang tiruan wajib dilaporkan di media nasional saja agar ditutup ecommerce tokopedia,,negatif
kenapa saya tidak bisa pke tik tok paylater yaahh,,negatif
jadi lambat terus serba susah mau belanja pembayaran sekarang ini di tokopedia haduh padahal pelanggan setia lama sama tokopedia,,negatif
simple dan mudah di gunakan mantapp dah pokoke,,positif
gratis ongkir ternyata hanya ilusi,,netral
bagus,,positif
banyak penipu,,negatif
ini pengalaman pahit lagi ditoped pengembalian dana saya tidak kunjung diproses padahal setelah order lewat estimasi sudah dikomplen dan tim investigasi sudah menyampaikantapi sampai saat ini masih diulang ulangjadi barang tidak dapat uang juga tidak kembali pokoknya ribet kecewa solusi lewat tanya sudah ke chat langsung sudah terus harus kemana lagi,,negatif
olshop paling lambat pengirimannya bahkan same day pun dua hari,,negatif
lambat banget tolong perbaiki hingga mulus seperti yang lain supaya user juga nyaman,,negatif
nice and baik,,positif
bagus,,positif
serius keranjang dibatasin engga mau dibeli apa gimana sih tokopedia,,negatif
belinya cuma bisa pas ada promo,netral,netral
tokopedia kalau beri voucher sangat royal tidak kaya ecommerce yang lain sukses selalu dan jaya,,negatif
pelayanan tokopedia care hanya bot jadi jawabannya terbatas,netral,netral
ni tokopedia kenapa lagi si ko selalu ada gangguanemang server nye knpe lagi atau lambat ude gitu ni aplikasi kaya tirani masa komplain tidak boleh kata belum tentu tidakn beradab tapi perbuatan itu jelas menentukan apakah itu beradab atau tidak,,negatif
saya belum pernah,netral,negatif
apa ini mau pesan malah promo tidak berlaku habisin waktu aja buat pilih barang aplikasi kikir,,negatif
mencari hasil yang sesuai kesukaanku,,negatif
mantap,,positif
tolong dong kenapa yah mau tarik saldo dikembalikan ke rekening di reject mulu dan jumlah uangnya bukan yang kecil bagi saya tolong penjelasannya saya berharap jawaban yang membantu,,negatif
komplain barang sangat merugikan pembeli sangat lamban dalam penanganan setelah komen ini saya uninstall tokopedia,,positif
sangat mempermudah untuk belanja,,positif
menyesal setelah update bebas ongkir awalnya hanya rebu jadi rebu,,negatif
parah banget udah sebulan untuk pengembalian barang masih belum juga asli parah banget ini mendingan pindah ke shopee aja,,negatif
oke,,positif
terpercaya toko ya dan ada tokopedia cart nya itu sangan membantu dan memudahkan bertransaksi,,positif
aplikasi membuat lambat berat banget di buka nya makan ram dan jaringan nya parah,,negatif
burik lah langganan tambah saya tiba tiba dibatalkan,,negatif
aplikasi nya sudah terinstall,netral,netral
aplikasi sering logout sendiri,,negatif
pesanan tidak kunjung datang status dalam pengiriman terusbarang tidak datang datang,,negatif
bagus sekali,,positif
belanja disini sangat nyaman dan banyak promo belanja sini sangat nyaman dan banyak promo nya,,positif
tokopedia oke banget,,positif
oke,,positif
update itu agar semakin bagus app nya ini malah semakin jelek,,negatif
parah semenjak gabung tiktok,,negatif
hancur semenjak gabung tiktokaturan tiktok merugikan penjual,,negatif
g jelas waktu bayar sesuai bill setelah dibayar muncul invoice lagi dan ternyata kurang karna ada biaya layanan kenapa pas belum dibayar aja dicantumin semua bill ya aneh dan tiba pesanan dibatalkan tanpa konfirmasi karna belum bayar biaya layanan kenapa g diinfo aja sebelumnya,,negatif
mudah dipahamii dan banyak bonusnya,,positif
sebagai user saya kurang puas karena seller ada yang kurang respon di chat tidak ada balasan untuk pesanan di keterangan di proses sampai akhirnya batal sediri inisangat buang waktu,,negatif
penjual barang botot,,negatif
infonya bermanfaat untuk saya,,positif
tambah buruk,,negatif
banyak penipu dan pihak aplikasi tidak ada tanggung jawab,,negatif
mantap aplikasi tokopedia jadi hemat belanja aplikasi tokopedia serba murah murah semoga kedepannya di tingkatkan lagi ya,,positif
nyaman dalam bertransaksi dan aman,,positif
mantap,,positif
heran pesan barang di tokopedia keseringan dibatalkan sistem mau cepat malah tambah lambat jadinya kacau,,negatif
aplikasi tik pesanan sudah di nanti tapi tiba tiba di batalkan sistem tidak guna,,negatif
alur pengembalian barangnya susah ribet saya beli barang dibalikin malah dibalikin lagi sama si tokonya hesh fak u customer service tokopedia full ai,,negatif
aplikasi toko pedia jangan terlalu sering update versi data ya,,negatif
buat dropshipper kak,netral,netral
